unit_id,array_id,region,mean_SNR,mean_latency,mean_reliability,oracle_correlation
542,8,IT,2.072311198175344,53.25,0.0904422400681055,0.25890270741479976
543,8,IT,3.3287508482153445,57.75,0.16372144905148214,0.3748943407784309
544,8,IT,5.144528647712287,67.25,0.6371324864670651,0.7905205339342327
545,8,IT,2.9953464930520073,76.25,0.6075567150556576,0.7709971404710346
546,8,IT,3.2005792510507614,64.25,0.6632348776252739,0.8079660653218134
547,8,IT,5.04695989929258,59.5,0.6125857392269477,0.7743278405256456
548,8,IT,4.800034225659473,60.25,0.3235196218635377,0.5517635661469005
549,8,IT,4.253246718451802,65.25,0.26495061751023147,0.4952005524689926
550,8,IT,2.7699725679838525,55.5,0.07143804994800365,0.22387371398437933
551,8,IT,3.7077671686986227,49.25,0.26208909458016993,0.4899170036630538
552,8,IT,3.2763221071668918,73.75,0.42998882265806665,0.6435552438482041
553,8,IT,3.2233866863382796,70.75,0.7447739575964468,0.8582735819359744
554,8,IT,3.294798048803214,63.25,0.5600994807336191,0.7386838540192809
555,8,IT,2.5022897437777165,57.0,0.23520512956005032,0.46083014615876955
556,8,IT,2.634792328810203,62.25,0.08141203756232797,0.24502482285893742
557,8,IT,2.3023271024161236,61.75,0.07188003393815856,0.22600475646483612
558,8,IT,3.322793027979161,57.75,0.16636374608926208,0.3770947452744037
559,8,IT,4.754079215195658,57.75,0.3574542609726727,0.5802863949669184
560,8,IT,4.93609879924403,69.25,0.5601844328155952,0.7386549556145924
561,8,IT,3.44643839369449,72.0,0.6213113015817071,0.7802117167085291
562,8,IT,2.429920378870289,65.75,0.08860931645265384,0.2581332615717428
563,8,IT,2.8470988182302754,61.0,0.10920318554341646,0.2966486527812585
564,8,IT,7.233030821162755,58.0,0.3507893855053943,0.5744529850568978
565,8,IT,7.615612557199301,55.75,0.3987849984528751,0.6159551692193291
566,8,IT,4.180755979900255,62.75,0.29448317053879963,0.5185162086936351
567,8,IT,5.867961832245833,58.0,0.4879427528519143,0.685995960531076
568,8,IT,5.677002783499734,67.5,0.5966321160736497,0.763819226822561
569,8,IT,2.993112525150292,64.5,0.21683068262253105,0.43856168797084194
570,8,IT,2.30252866819351,62.0,0.09195675078867872,0.2623353393441753
571,8,IT,4.40632496821868,61.5,0.32332360374338703,0.5497219295594675
572,8,IT,7.979339349850219,60.75,0.3467271253964921,0.5708697840241175
573,8,IT,8.197637155470703,59.25,0.45379484608588877,0.6608299846567408
574,8,IT,5.284740052515775,64.25,0.5475656600471682,0.7280312976596277
575,8,IT,4.170979638074033,63.5,0.590255914260921,0.7592113996757273
576,9,IT,0.6814011772659393,67.5,0.3277654273585655,0.5535266296827817
577,9,IT,0.9821764068535161,64.75,0.552279079361869,0.7331767115400692
578,9,IT,1.0078649452107524,73.0,0.579193161003448,0.7518592840254794
579,9,IT,1.0717699483585457,90.75,0.7755620993958873,0.8763886406250307
580,9,IT,0.19052984039788423,58.75,0.6225193401278204,0.7813118828278972
581,9,IT,1.3073587228459973,88.5,0.7359609367683366,0.8526796925341554
582,9,IT,1.2882368680462892,93.75,0.5502150866438471,0.7316447811586194
583,9,IT,0.40937357767588123,-16.75,0.6105863811979819,0.7729396474177349
584,9,IT,1.5389045205631335,73.5,0.520468693197664,0.7104111121130291
585,9,IT,1.0915328528154749,82.0,0.5411298783623811,0.7252884541271125
586,9,IT,0.9110861464164767,84.75,0.4195170904449818,0.6333836205514362
587,9,IT,0.5038470487537805,53.5,0.2194890185132744,0.4437605578438209
588,9,IT,0.2732251205150688,85.5,0.31707549581079264,0.5436215671081492
589,9,IT,-0.0072575542612669285,44.5,0.4218984500943615,0.635439884733426
590,9,IT,0.4565978110023983,87.75,0.6272476888940536,0.7841104784288105
591,9,IT,0.8990510068919434,104.0,0.798567183496011,0.8898026719421964
592,9,IT,2.0583002783874456,80.75,0.4069006532082256,0.6225816480524432
593,9,IT,1.03402613328648,80.5,0.1992431575801153,0.4191477967525087
594,9,IT,0.5425132340984514,69.75,0.09649538429470067,0.27171547577896626
595,9,IT,0.8424422103166219,71.25,0.17267411419615591,0.38828278958468354
596,9,IT,0.17312437210582082,31.5,0.08774945859041784,0.25532202095688267
597,9,IT,0.3262237462410975,82.0,0.2959981185852695,0.5242347658159001
598,9,IT,0.2889325989311892,17.75,0.24584547015059607,0.4728273118635987
599,9,IT,0.4646117289492665,65.5,0.7746419996189975,0.8757899426517235
600,9,IT,2.581893199423695,76.75,0.5260546469851335,0.7142509707797615
601,9,IT,1.4639531184907717,77.5,0.274064931733739,0.5013848498979581
602,9,IT,0.5054437537106599,91.0,0.0672065263871255,0.2141731634408331
603,9,IT,0.3793267697043572,108.5,0.04546025816913424,0.1656034164853465
604,9,IT,0.43809910791024353,31.75,0.06205185335603977,0.2060401950702301
605,9,IT,0.4051827883121513,64.0,0.2064822569177384,0.42883335735253336
606,9,IT,0.30007439202556346,73.5,0.0014136819967521183,0.014507474439319564
607,9,IT,0.13361309512043823,0.75,0.4485945636819871,0.656767539922461
608,9,IT,0.22120975068663568,24.75,0.0203232074218189,0.09130428826596783
609,9,IT,0.3422203515680165,23.5,0.023207989157670583,0.09764255826263689
610,9,IT,0.41059889805384353,38.5,0.016468806690184138,0.074481933973726
